"","old","new"
"1","Antillia gregorii",""
"2","Antillophyllia sawkinsi",""
"3","Caulastraea portoricensis",""
"4","Dichocoenia caloosahatcheensis",""
"5","Dichocoenia eminens",""
"6","Dichocoenia tuberosa",""
"7","Diploria sarasotana",""
"8","Diploria zambensis",""
"9","Favia dominicensis",""
"10","Favia maoadentrensis",""
"11","Favia vokesae",""
"12","Galaxea excelsa",""
"13","Goniopora calhounensis",""
"14","Hadrophyllia saundersi",""
"15","Leptoseris undata",""
"16","Montastraea-ann annularis",""
"17","Montastraea-ann brevis",""
"18","Montastraea-ann faveolata",""
"19","Montastraea-ann franksi",""
"20","Montastraea-ann limbata",""
"21","Montastraea-ann trinitatis",""
"22","Montastraea-cav canalis",""
"23","Montastraea-cav cavernosa",""
"24","Montastraea-cav cylindrica",""
"25","Montastraea-cav endothecata",""
"26","Madracis decaseptata",""
"27","Manicina geisteri",""
"28","Manicina jungi",""
"29","Manicina mayori",""
"30","Manicina pliocenica",""
"31","Manicina puntagordensis",""
"32","Mycetophyllia bullbrooki",""
"33","Porites-mass aff.astreoides",""
"34","Porites-mass astreoides",""
"35","Porites-mass macdonaldi",""
"36","Porites-mass portoricensis",""
"37","Porites-mass waylandi",""
"38","Porites-br convivatoris",""
"39","Placocyathus trinitatis",""
"40","Psammocora trinitatis",""
"41","Siderastrea silecensis",""
"42","Stephanocoenia duncani",""
"43","Stephanocoenia spongiformis",""
"44","Stylophora monticulosa",""
"45","Thysanus corbicula",""
"46","Thysanus crassicostatus",""
"47","Thysanus navicula",""
"48","Trachyphyllia bilobata",""
"49","Undaria crassa",""
"50","Undaria pusilla",""
