"scientificName","valid","redlistCategory"
"Acanthastrea bowerbanki","Homophyllia bowerbanki","Vulnerable"
"Acanthastrea hillae","Homophyllia bowerbanki","Near Threatened"
"Leptoseris hawaiiensis","Leptoseris hawaiiensis","Least Concern"
"Leptoseris incrustans","Leptoseris hawaiiensis","Vulnerable"
"Millepora exaesa","Millepora exaesa","Least Concern"
"Millepora tuberosa","Millepora exaesa","Endangered"
"Millepora intricata","Millepora intricata","Least Concern"
"Millepora murrayi","Millepora intricata","Near Threatened"
"Millepora squarrosa","Millepora squarrosa","Least Concern"
"Millepora striata","Millepora squarrosa","Endangered"
"Pocillopora danae","Pocillopora verrucosa","Vulnerable"
"Pocillopora verrucosa","Pocillopora verrucosa","Least Concern"
"Psammocora nierstraszi","Psammocora nierstraszi","Least Concern"
"Psammocora verrilli","Psammocora nierstraszi","Data Deficient"
"Psammocora vaughani","Psammocora nierstraszi","Near Threatened"
"Siderastrea glynni","Siderastrea siderea","Critically Endangered"
"Siderastrea siderea","Siderastrea siderea","Least Concern"
