"n","algorithm","fname","cutoff","AUC.train","AUC.test"
9,"xgboost","XGBoost_grid__1_AutoML_20200309_152139_model_4",0.34,0.822029270423766,0.738705210316773
6,"gbm","GBM_1_AutoML_20200309_152139",0.34,0.958191349934469,0.728751947377532
13,"gbm","GBM_3_AutoML_20200309_152139",0.325,0.937800349497597,0.724424441751774
31,"gbm","GBM_2_AutoML_20200309_152139",0.33,0.90719746614242,0.724424441751774
5,"deeplearning","DeepLearning_grid__1_AutoML_20200309_152139_model_7",0.33,0.711871996505024,0.720616236801108
56,"xgboost","XGBoost_1_AutoML_20200309_152139",0.325,0.763379204892966,0.720356586463562
59,"xgboost","XGBoost_grid__1_AutoML_20200309_152139_model_3",0.34,0.740934906072521,0.720356586463562
18,"drf","XRT_1_AutoML_20200309_152139",0.325,0.990825688073395,0.714730829150078
19,"drf","XRT_1_AutoML_20200309_152139",0.325,0.990825688073395,0.714730829150078
20,"drf","XRT_1_AutoML_20200309_152139",0.33,0.990825688073395,0.714730829150078
