"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test"
"DeepLearning_grid__1_AutoML_20200114_104212_model_14",0.448462613556953,0.724231306778476,0.4,0.500557413600892,0.750278706800446,0.44
"DeepLearning_grid__1_AutoML_20200114_104212_model_5",0.625436757512229,0.812718378756115,0.09,0.551839464882943,0.775919732441471,0.13
"DeepLearning_grid__1_AutoML_20200114_104212_model_7",0.465618448637316,0.732809224318658,0.2,0.42809364548495,0.714046822742475,0.2
"DeepLearning_grid__1_AutoML_20200114_104212_model_8",0.492068483577917,0.746034241788959,0.24,0.477146042363433,0.738573021181717,0.27
"DeepLearning_grid__1_AutoML_20200114_104212_model_8",0.492068483577917,0.746034241788959,0.24,0.477146042363433,0.738573021181717,0.28
"DeepLearning_grid__1_AutoML_20200114_104212_model_8",0.492068483577917,0.746034241788959,0.24,0.477146042363433,0.738573021181717,0.29
"DeepLearning_grid__3_AutoML_20200114_104212_model_4",0.704367575122292,0.852183787561146,0.23,0.678929765886288,0.839464882943144,0.22
"StackedEnsemble_AllModels_AutoML_20200114_104212",0.743431167016073,0.871715583508036,0.22,0.680044593088071,0.840022296544036,0.23
"StackedEnsemble_BestOfFamily_AutoML_20200114_104212",0.51911250873515,0.759556254367575,0.21,0.547380156075808,0.773690078037904,0.25
"XGBoost_1_AutoML_20200114_104212",0.489587700908455,0.744793850454228,0.29,0.508361204013378,0.754180602006689,0.32
"XGBoost_2_AutoML_20200114_104212",0.408700209643606,0.704350104821803,0.35,0.423634336677815,0.711817168338908,0.35
"XGBoost_grid__1_AutoML_20200114_104212_model_2",0.470055904961565,0.735027952480783,0.29,0.455964325529543,0.727982162764771,0.36
